__row,name,ra_1,dec_1,lii,bii,position_flag,radio_detect,flux_6_cm,ref_flux_6_cm,flux_20_cm,ref_flux_20_cm,redshift_flag,redshift,object_type,app_mag_flag,app_mag,bv_color,ub_color,abs_mag,ref_chart,ref_app_mag,ref_redshift,broad_type,class,__x_ra_dec,__y_ra_dec,__z_ra_dec,ra_2,dec_2,plate,mjd,fiberID,Separation
87419,SDSS J00069+1411,1.72583333,14.1925,106.91083752,-47.28915522,O,N,,,,,,1.299,Q,V,19.77,0.43,-0.45,-23.9,,3,3,QSO,7200,0.0291976741643792,0.969037680509291,0.245180483677973,1.7255766,14.192528,751,52251,131,0.9016702099896103
87566,SDSS J00069+1414,1.72666667,14.24527778,106.93168328,-47.23830225,O,N,,,,,,1.636,Q,V,19.53,0.17,-0.49,-24.8,,3,3,QSO,7200,0.029204950863404,0.968811100170675,0.246073409841763,1.7267061,14.245207,751,52251,138,0.2895794857471111
39099,SDSS J00069-0039,1.73083333,-0.655,99.11337952,-61.45098337,O,N,,,,,,0.139,S2,V,19.01,0.91,0.45,-19.0,,3,951,AGN,7106,0.0302021723875056,0.999478436979814,-0.0114316575990908,1.7309798,-0.65532308,388,51793,228,1.277017696216542
89731,SDSS J00069+1509,1.73166667,15.155,107.27206614,-46.35891207,O,N,,,,,,1.4,Q,V,19.56,0.24,-0.45,-24.5,,3,3,QSO,7200,0.0291677421490089,0.964781313669264,0.261431175670649,1.7317272,15.154893,751,52251,508,0.4388822303594617
34462,SDSS J00069-0103,1.74,-1.06611111,98.81841412,-61.83759874,O,N,,,,2068,,1.436,Q,V,20.01,0.41,-0.77,-23.9,,2068,2068,QSO,7200,0.0303588049621205,0.999365877404621,-0.0186060753670586,1.7401481,-1.0663404,4217,55478,250,0.9826082407920096
90314,SDSS J00069+1525,1.74041667,15.43055556,107.38274196,-46.09407304,O,N,,,,,,0.068,AG,V,18.8,0.39,-0.25,-18.2,,3,3,AGN,7000,0.0292765544574292,0.963508960840698,0.266070227080708,1.7406791,15.430582,751,52251,509,0.9156539407710691
43901,SDSS J00069-0017,1.74708333,-0.29444444,99.41310597,-61.12003262,O,N,,,,2068,,2.016,Q,V,19.52,0.15,-0.78,-25.3,,2068,2068,QSO,7200,0.0304872288365272,0.999521945498447,-0.00513900232230797,1.74704500000001,-0.294696,9403,58018,95,0.9160679692624643
38052,SDSS J00070-0044,1.75416667,-0.74277778,99.09285909,-61.54127958,O,N,,,,2068,,1.365,Q,V,20.51,0.46,-0.8,-23.2,,2068,2068,QSO,7200,0.0306086290494047,0.999447376341545,-0.012963554748524,1.7543537,-0.7430805,1090,52903,197,1.2809816739407334
52868,PB 5741,1.75541667,0.37833333,99.91404745,-60.49313193,O,N,,,,,,0.886,Q,V,17.64,0.34,-0.61,-25.3,,3,1012,QSO,7200,0.0306323398815006,0.999508908732187,0.00660311429373142,1.75554399999999,0.378433,4217,55478,728,0.5821137740969758
91316,2MASS J00070+1554,1.765,15.90638889,107.58393865,-45.63871601,O,Y,,,15.0,483,,0.114,S1.8,V,17.12,0.58,0.03,-20.8,,873,2151,AGN,7106,0.0296208734475988,0.961254482660703,0.274066458036925,1.7650066,15.906605,751,52251,577,0.7783314906071845
